,SCIAN,MUN,genero,ocupacion,edad_num,edad_cat,sector,escolaridad,informal,municipio
3035,4,6,H,trabajador,42,"[25, 50)",Construcción,Primaria o Secundaria,0,apodaca
3036,5,6,H,trabajador,29,"[25, 50)",Industria manufacturera,Licenciatura,0,apodaca
3037,20,6,H,trabajador,60,"[60, 65)",Gobierno,Licenciatura,0,apodaca
3038,18,6,F,trabajador,35,"[25, 50)",Servicios,Licenciatura,0,apodaca
3039,13,6,F,trabajador,30,"[25, 50)",Servicios,Licenciatura,0,apodaca
3040,13,6,H,trabajador,49,"[25, 50)",Servicios,Licenciatura,0,apodaca
3041,8,48,H,trabajador,49,"[25, 50)",Transporte y comunicaciones,Carrera técnica o preparatoria,0,santa_catarina
3042,15,48,F,trabajador,45,"[25, 50)",Servicios,Primaria o Secundaria,0,santa_catarina
3043,15,48,F,trabajador,28,"[25, 50)",Servicios,Licenciatura,1,santa_catarina
3044,18,48,H,trabajador,17,"[15, 18)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3045,18,48,H,trabajador,17,"[15, 18)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3046,10,48,H,trabajador,41,"[25, 50)",Servicios,Carrera técnica o preparatoria,0,santa_catarina
3047,11,48,F,trabajador,40,"[25, 50)",Servicios,Primaria o Secundaria,0,santa_catarina
3048,5,48,H,trabajador,39,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
3049,5,48,F,trabajador,38,"[25, 50)",Industria manufacturera,Carrera técnica o preparatoria,0,santa_catarina
3050,4,26,H,independiente,98,"[65, 131)",Construcción,Primaria o Secundaria,1,guadalupe
3051,4,26,H,independiente,98,"[65, 131)",Construcción,Primaria o Secundaria,1,guadalupe
3052,19,26,F,trabajador,58,"[50, 60)",Servicios,Primaria o Secundaria,1,guadalupe
3053,4,26,H,independiente,54,"[50, 60)",Construcción,Primaria o Secundaria,1,guadalupe
3054,19,26,F,trabajador,61,"[60, 65)",Servicios,Primaria o Secundaria,1,guadalupe
3055,17,26,H,trabajador,28,"[25, 50)",Servicios,Carrera técnica o preparatoria,1,guadalupe
3056,19,26,H,trabajador,63,"[60, 65)",Servicios,Primaria o Secundaria,1,guadalupe
3057,5,21,F,trabajador,45,"[25, 50)",Industria manufacturera,Primaria o Secundaria,0,escobedo
3058,7,21,H,trabajador,19,"[18, 25)",Comercio,Carrera técnica o preparatoria,0,escobedo
3059,7,21,F,independiente,35,"[25, 50)",Comercio,Primaria o Secundaria,1,escobedo
3060,7,21,F,independiente,59,"[50, 60)",Comercio,Primaria o Secundaria,1,escobedo
3061,7,21,H,independiente,65,"[65, 131)",Comercio,Carrera técnica o preparatoria,1,escobedo
3062,15,39,H,trabajador,43,"[25, 50)",Servicios,Licenciatura,0,monterrey
3063,19,39,F,independiente,42,"[25, 50)",Servicios,Carrera técnica o preparatoria,1,monterrey
3064,19,39,H,trabajador,53,"[50, 60)",Servicios,Primaria o Secundaria,0,monterrey
